steps,best_cross_val,best_params,train_score,test_score,sensitivity,specificity,confusion_matrix,runtime
"[<class 'sklearn.feature_extraction.text.CountVectorizer'>, <class 'sklearn.preprocessing._function_transformer.FunctionTransformer'>, <class 'sklearn.tree.tree.DecisionTreeClassifier'>]",0.7234470771201171,"{'tree__max_depth': 7, 'tree__min_samples_leaf': 5, 'tree__min_samples_split': 5}",0.7329613027170433,0.7200878155872668,0.9404371584699454,0.4977949283351709,"(903, 911, 109, 1721)",43.94463086128235
"[<class 'sklearn.feature_extraction.text.CountVectorizer'>, <class 'sklearn.preprocessing._function_transformer.FunctionTransformer'>, <class 'sklearn.ensemble.bagging.BaggingClassifier'>]",0.770926722166316,"{'bagg__base_estimator': None, 'bagg__n_estimators': 20}",0.9744762601774769,0.7601536772777168,0.740983606557377,0.7794928335170893,"(1414, 400, 474, 1356)",330.5461370944977
"[<class 'sklearn.feature_extraction.text.CountVectorizer'>, <class 'sklearn.preprocessing._function_transformer.FunctionTransformer'>, <class 'sklearn.ensemble.forest.RandomForestClassifier'>]",0.786661787576617,"{'tree__max_depth': None, 'tree__min_samples_leaf': 2, 'tree__min_samples_split': 10, 'tree__n_estimators': 10}",0.8640563534900741,0.7771679473106476,0.7786885245901639,0.7756339581036383,"(1407, 407, 405, 1425)",204.61241006851196
"[<class 'sklearn.feature_extraction.text.CountVectorizer'>, <class 'sklearn.preprocessing._function_transformer.FunctionTransformer'>, <class 'sklearn.ensemble.forest.ExtraTreesClassifier'>]",0.7824535724087458,"{'tree__max_depth': None, 'tree__min_samples_leaf': 4, 'tree__min_samples_split': 5, 'tree__n_estimators': 10}",0.844113072911902,0.7615257958287596,0.7480874316939891,0.7750826901874311,"(1406, 408, 461, 1369)",296.3481719493866
"[<class 'sklearn.feature_extraction.text.CountVectorizer'>, <class 'sklearn.preprocessing._function_transformer.FunctionTransformer'>, <class 'sklearn.ensemble.weight_boosting.AdaBoostClassifier'>]",0.7702863415972921,"{'boost__base_estimator__max_depth': 2, 'boost__n_estimators': 50}",0.8050498582014455,0.7667398463227223,0.8333333333333334,0.6995589856670342,"(1269, 545, 305, 1525)",555.8675761222839
"[<class 'sklearn.feature_extraction.text.CountVectorizer'>, <class 'sklearn.preprocessing._function_transformer.FunctionTransformer'>, <class 'sklearn.linear_model.logistic.LogisticRegression'>]",0.7889488610374166,{'logreg__C': 0.01},0.8075198975391089,0.7873216245883644,0.8530054644808743,0.721058434399118,"(1308, 506, 269, 1561)",10.185824155807495
"[<class 'sklearn.feature_extraction.text.CountVectorizer'>, <class 'sklearn.preprocessing._function_transformer.FunctionTransformer'>, <class 'sklearn.linear_model.ridge.RidgeClassifier'>]",0.7772390449181228,{'ridge__alpha': 100.0},0.8209678894886103,0.7785400658616904,0.8633879781420765,0.6929437706725469,"(1257, 557, 250, 1580)",19.333888053894043
"[<class 'sklearn.feature_extraction.text.CountVectorizer'>, <class 'sklearn.preprocessing._function_transformer.FunctionTransformer'>, <class 'sklearn.naive_bayes.MultinomialNB'>]",0.7524471686030555,{'nb__alpha': 4.6415888336127775},0.7734882444424115,0.7497255762897914,0.692896174863388,0.8070562293274531,"(1464, 350, 562, 1268)",10.0956130027771
"[<class 'sklearn.feature_extraction.text.CountVectorizer'>, <class 'sklearn.preprocessing._function_transformer.FunctionTransformer'>, <class 'sklearn.naive_bayes.GaussianNB'>]",0.6885920775775318,{},0.7336931662244991,0.705543358946213,0.8316939890710382,0.5782800441014333,"(1049, 765, 308, 1522)",6.829362869262695
"[<class 'sklearn.feature_extraction.text.TfidfVectorizer'>, <class 'sklearn.preprocessing._function_transformer.FunctionTransformer'>, <class 'sklearn.tree.tree.DecisionTreeClassifier'>]",0.7205196230902937,"{'tree__max_depth': 7, 'tree__min_samples_leaf': 2, 'tree__min_samples_split': 5}",0.7377184155155063,0.7225576289791438,0.9420765027322404,0.5011025358324146,"(909, 905, 106, 1724)",43.18629813194275
"[<class 'sklearn.feature_extraction.text.TfidfVectorizer'>, <class 'sklearn.preprocessing._function_transformer.FunctionTransformer'>, <class 'sklearn.ensemble.bagging.BaggingClassifier'>]",0.7815387430244259,"{'bagg__base_estimator': None, 'bagg__n_estimators': 20}",0.9750251578080688,0.7738748627881449,0.7726775956284153,0.7750826901874311,"(1406, 408, 416, 1414)",432.4600992202759
"[<class 'sklearn.feature_extraction.text.TfidfVectorizer'>, <class 'sklearn.preprocessing._function_transformer.FunctionTransformer'>, <class 'sklearn.ensemble.forest.RandomForestClassifier'>]",0.7822706065318819,"{'tree__max_depth': None, 'tree__min_samples_leaf': 4, 'tree__min_samples_split': 20, 'tree__n_estimators': 10}",0.8506998444790047,0.7725027442371021,0.7814207650273224,0.7635060639470783,"(1385, 429, 400, 1430)",207.2550311088562
"[<class 'sklearn.feature_extraction.text.TfidfVectorizer'>, <class 'sklearn.preprocessing._function_transformer.FunctionTransformer'>, <class 'sklearn.ensemble.forest.ExtraTreesClassifier'>]",0.7833684017930655,"{'tree__max_depth': None, 'tree__min_samples_leaf': 4, 'tree__min_samples_split': 10, 'tree__n_estimators': 10}",0.8354221937608636,0.7659165751920965,0.7573770491803279,0.7745314222712238,"(1405, 409, 444, 1386)",301.7461359500885
"[<class 'sklearn.feature_extraction.text.TfidfVectorizer'>, <class 'sklearn.preprocessing._function_transformer.FunctionTransformer'>, <class 'sklearn.ensemble.weight_boosting.AdaBoostClassifier'>]",0.7723904491812277,"{'boost__base_estimator__max_depth': 2, 'boost__n_estimators': 45}",0.8074284146006769,0.7678375411635565,0.8207650273224044,0.7144432194046306,"(1296, 518, 328, 1502)",526.7477300167084
"[<class 'sklearn.feature_extraction.text.TfidfVectorizer'>, <class 'sklearn.preprocessing._function_transformer.FunctionTransformer'>, <class 'sklearn.linear_model.logistic.LogisticRegression'>]",0.7952611837892233,{'logreg__C': 0.21544346900318834},0.8219742018113622,0.7878704720087816,0.8136612021857923,0.7618522601984564,"(1382, 432, 341, 1489)",7.810136079788208
"[<class 'sklearn.feature_extraction.text.TfidfVectorizer'>, <class 'sklearn.preprocessing._function_transformer.FunctionTransformer'>, <class 'sklearn.linear_model.ridge.RidgeClassifier'>]",0.7899551733601683,{'ridge__alpha': 100.0},0.8045924435092855,0.7810098792535675,0.7961748633879782,0.7657111356119074,"(1389, 425, 373, 1457)",17.61418104171753
"[<class 'sklearn.feature_extraction.text.TfidfVectorizer'>, <class 'sklearn.preprocessing._function_transformer.FunctionTransformer'>, <class 'sklearn.naive_bayes.MultinomialNB'>]",0.7546427591254231,{'nb__alpha': 4.6415888336127775},0.7891318269142805,0.7530186608122942,0.6950819672131148,0.8114663726571113,"(1472, 342, 558, 1272)",9.061815977096558
"[<class 'sklearn.feature_extraction.text.TfidfVectorizer'>, <class 'sklearn.preprocessing._function_transformer.FunctionTransformer'>, <class 'sklearn.naive_bayes.GaussianNB'>]",0.7104564998627756,{},0.8129173909065959,0.7329857299670691,0.7404371584699454,0.7254685777287762,"(1316, 498, 475, 1355)",6.832201957702637
