title,genre,renewed,table,year,premiere_year,seasons_count,episodes_count,length_low,length_hi,genre_list,post,anthology,of,sketch,fantasy,action,cooking,drama,conspiracy,sci,medieval,political,crime,spanish,comic,documentary,sitcom,animation,educational,western,korean,psychological,period,celebrity,business,martial,music,slice,motoring,fiction,culinary,suspense,investigation,reality,dark,satire,superhero,nature,noir,sport,procedural,science,biography,adventure,docu,television,mockumentary,apocalyptic,fi,night,age,musical,series,mystery,travel,true,language,coming,talk,thriller,supernatural,None,competition,paranormal,aftershow,legal,life,show,late,romantic,black,art,historical,police,spy,makeover,blaxploitation,comedy,lgbt,arts,variety,neo,teen,horror,avg_length,premiere_month_1.0,premiere_month_2.0,premiere_month_3.0,premiere_month_4.0,premiere_month_5.0,premiere_month_6.0,premiere_month_7.0,premiere_month_8.0,premiere_month_9.0,premiere_month_10.0,premiere_month_11.0,premiere_month_12.0
House of Cards,political drama,0,0,2013,2013,6,73.0,42,59,"['political', 'drama']",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.5,0,1,0,0,0,0,0,0,0,0,0,0
Hemlock Grove,horror thriller,0,0,2013,2013,3,33.0,45,58,"['horror', 'thriller']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,51.5,0,0,0,1,0,0,0,0,0,0,0,0
Orange Is the New Black,comedy drama,0,0,2013,2013,7,91.0,50,92,"['comedy', 'drama']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,71.0,0,0,0,0,0,0,1,0,0,0,0,0
Marco Polo,historical drama,0,0,2014,2014,2,20.0,48,65,"['historical', 'drama']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,56.5,0,0,0,0,0,0,0,0,0,0,0,1
Bloodline,thriller,0,0,2015,2015,3,33.0,48,68,['thriller'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.0,0,0,1,0,0,0,0,0,0,0,0,0
Sense8,science fiction,0,0,2015,2015,2,24.0,45,152,"['science', 'fiction']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.5,0,0,0,0,0,1,0,0,0,0,0,0
Narcos,crime drama,0,0,2015,2015,3,30.0,43,60,"['crime', 'drama']",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.5,0,0,0,0,0,0,0,1,0,0,0,0
Stranger Things,science fiction horror,1,0,2016,2016,3,25.0,42,78,"['science', 'fiction', 'horror']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60.0,0,0,0,0,0,0,1,0,0,0,0,0
The Get Down,musical drama,0,0,2016,2016,2,11.0,50,93,"['musical', 'drama']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.5,0,0,0,0,0,0,0,1,0,0,0,0
The Crown,historical drama,1,0,2016,2016,2,20.0,54,61,"['historical', 'drama']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,57.5,0,0,0,0,0,0,0,0,0,0,1,0
The OA,mystery,0,0,2016,2016,2,16.0,31,71,['mystery'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.0,0,0,0,0,0,0,0,0,0,0,0,1
A Series of Unfortunate Events,black comedy mystery,0,0,2017,2017,3,25.0,36,64,"['black', 'comedy', 'mystery']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,50.0,1,0,0,0,0,0,0,0,0,0,0,0
13 Reasons Why,teen drama mystery,1,0,2017,2017,3,39.0,49,71,"['teen', 'drama', 'mystery']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,60.0,0,0,1,0,0,0,0,0,0,0,0,0
Gypsy,psychological thriller,0,0,2017,2017,1,10.0,46,58,"['psychological', 'thriller']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.0,0,0,0,0,0,1,0,0,0,0,0,0
Ozark,crime drama,1,0,2017,2017,2,20.0,52,80,"['crime', 'drama']",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,0,0,0,0,0,0,1,0,0,0,0,0
Altered Carbon,science fiction,1,0,2018,2018,1,10.0,46,66,"['science', 'fiction']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.0,0,1,0,0,0,0,0,0,0,0,0,0
Seven Seconds,crime drama,0,0,2018,2018,1,10.0,54,80,"['crime', 'drama']",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.0,0,1,0,0,0,0,0,0,0,0,0,0
Lost in Space,science fiction,1,0,2018,2018,1,10.0,48,66,"['science', 'fiction']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.0,0,0,0,1,0,0,0,0,0,0,0,0
The Innocents,supernatural fiction,0,0,2018,2018,1,8.0,46,56,"['supernatural', 'fiction']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.0,0,0,0,0,0,0,0,1,0,0,0,0
The Haunting,horror anthology,1,0,2018,2018,1,10.0,43,71,"['horror', 'anthology']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,57.0,0,0,0,0,0,0,0,0,0,1,0,0
Chilling Adventures of Sabrina,supernatural coming of age horror,1,0,2018,2018,2,20.0,50,64,"['supernatural', 'coming', 'of', 'age', 'horror']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,57.0,0,0,0,0,0,0,0,0,0,1,0,0
Narcos: Mexico,crime drama,1,0,2018,2018,1,10.0,55,70,"['crime', 'drama']",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.5,0,0,0,0,0,0,0,0,0,0,1,0
The Umbrella Academy,superhero action,1,0,2019,2019,1,10.0,45,60,"['superhero', 'action']",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.5,0,1,0,0,0,0,0,0,0,0,0,0
The Order,supernatural horror drama,1,0,2019,2019,1,10.0,42,51,"['supernatural', 'horror', 'drama']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,46.5,0,0,1,0,0,0,0,0,0,0,0,0
Chambers,teen psychological thriller,0,0,2019,2019,1,10.0,38,51,"['teen', 'psychological', 'thriller']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,44.5,0,0,0,1,0,0,0,0,0,0,0,0
The Society,mystery drama,1,0,2019,2019,1,10.0,49,61,"['mystery', 'drama']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.0,0,0,0,0,1,0,0,0,0,0,0,0
Trinkets,coming of age drama,1,0,2019,2019,1,10.0,22,29,"['coming', 'of', 'age', 'drama']",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.5,0,0,0,0,0,1,0,0,0,0,0,0
Daredevil,crime drama legal drama,0,1,2015,2015,3,39.0,46,61,"['crime', 'drama', 'legal', 'drama']",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.5,0,0,0,1,0,0,0,0,0,0,0,0
Jessica Jones,neo noir psychological thriller,0,1,2015,2015,3,39.0,44,56,"['neo', 'noir', 'psychological', 'thriller']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,50.0,0,0,0,0,0,0,0,0,0,0,1,0
Luke Cage,neo blaxploitation neo western,0,1,2016,2016,2,26.0,46,69,"['neo', 'blaxploitation', 'neo', 'western']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,57.5,0,0,0,0,0,0,0,0,1,0,0,0
Iron Fist,martial arts business drama,0,1,2017,2017,2,23.0,49,61,"['martial', 'arts', 'business', 'drama']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,55.0,0,0,1,0,0,0,0,0,0,0,0,0
The Punisher,crime drama conspiracy thriller,0,1,2017,2017,2,26.0,47,58,"['crime', 'drama', 'conspiracy', 'thriller']",0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.5,0,0,0,0,0,0,0,0,0,0,1,0
Unbreakable Kimmy Schmidt,comedy,0,2,2015,2015,4,51.0,23,53,['comedy'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,38.0,0,0,1,0,0,0,0,0,0,0,0,0
Grace and Frankie,comedy drama,1,2,2015,2015,5,65.0,25,35,"['comedy', 'drama']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,30.0,0,0,0,0,1,0,0,0,0,0,0,0
Master of None,comedy,0,2,2015,2015,2,20.0,21,57,['comedy'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,39.0,0,0,0,0,0,0,0,0,0,0,1,0
W/ Bob & David,sketch comedy,0,2,2015,2015,1,5.0,27,33,"['sketch', 'comedy']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,30.0,0,0,0,0,0,0,0,0,0,0,1,0
Love,romantic comedy,0,2,2016,2016,3,34.0,24,40,"['romantic', 'comedy']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,32.0,0,1,0,0,0,0,0,0,0,0,0,0
Fuller House,sitcom,1,2,2016,2016,4,57.0,24,36,['sitcom'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0,0,1,0,0,0,0,0,0,0,0,0,0
Flaked,comedy,0,2,2016,2016,2,14.0,30,34,['comedy'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,32.0,0,0,1,0,0,0,0,0,0,0,0,0
Netflix Presents: The Characters,sketch comedy,0,2,2016,2016,1,8.0,27,38,"['sketch', 'comedy']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,32.5,0,0,1,0,0,0,0,0,0,0,0,0
The Ranch,sitcom,1,2,2016,2016,7,70.0,25,36,['sitcom'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.5,0,0,0,1,0,0,0,0,0,0,0,0
Lady Dynamite,comedy,0,2,2016,2016,2,20.0,26,36,['comedy'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,31.0,0,0,0,0,1,0,0,0,0,0,0,0
Easy,romantic comedy anthology,0,2,2016,2016,3,25.0,26,52,"['romantic', 'comedy', 'anthology']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,39.0,0,0,0,0,0,0,0,0,1,0,0,0
